name,address,website,stars
Lazy Bear,"3416 19th St., San Francisco 94110",http://www.lazybearsf.com,2
minibar,"855 E St. NW, Washington 20004",http://www.minibarbyjoseandres.com,2
Pineapple and Pearls,"715 8th St. SE, Washington 20003",http://www.pineappleandpearls.com,2
Oriole,"661 W. Walnut St., Chicago 60661",http://www.oriolechicago.com,2
Smyth,"177 N. Ada St., Chicago 60607",http://www.smythandtheloyalist.com,2
Sushi Ginza Onodera,"461 Fifth Ave., New York 10017",http://onodera-group.com,2
Aska,"47 S. 5th St., Brooklyn 11249",http://www.askanyc.com,2
Eleven Madison Park,"11 Madison Ave., New York 10010",http://www.elevenmadisonpark.com,3
Le Bernardin,"155 W. 51st St., New York 10019",http://www.le-bernardin.com,3
Per Se,"10 Columbus Circle, New York 10019",http://www.perseny.com,3
Masa,"10 Columbus Circle, New York 10019",http://www.masanyc.com,3
Quince,"470 Pacific Ave., San Francisco 94133",http://www.quincerestaurant.com,3
The French Laundry,"6640 Washington St., Yountville 94599",http://www.thomaskeller.com,3
Manresa,"320 Village Ln., Los Gatos 95030",http://www.manresarestaurant.com,3
The Restaurant at Meadowood,"900 Meadowood Ln., St. Helena 94574",http://www.therestaurantatmeadowood.com,3
Saison,"178 Townsend St., San Francisco 94107",http://www.saisonsf.com,3
Atelier Crenn,"3127 Fillmore St., San Francisco 94123",http://www.ateliercrenn.com,3
Benu,"22 Hawthorne St., San Francisco 94105",http://www.benusf.com,3
Chef's Table at Brooklyn Fare,"431 W. 37th St., New York 10018",http://www.brooklynfare.com,3
SingleThread,"131 North St., Healdsburg 95448",http://www.singlethreadfarms.com,3
The Inn at Little Washington,"309 Middle St., Washington 22747",http://www.theinnatlittlewashington.com,3
Alinea,"1723 N. Halsted St., Chicago 60614",http://www.alinearestaurant.com,3
